id,device,description,unit
1,Handlabor,Handlänge,mm
2,Handlabor,Handbreite,mm
3,Handlabor,Handindex 2:1,keine
4,Handlabor,Handgelenkbreite,mm
5,Handlabor,Handrückenlänge,mm
6,Handlabor,Mittelfingerlänge,mm
7,Handlabor,Handlängenindex 5:6,keine
8,Handlabor,Zeigfingerlänge,mm
12,Handlabor,Mittelfingerlänge,mm
16,Handlabor,Ringfingerlänge,mm
20,Handlabor,Kleinfingerlänge,mm
24,Handlabor,Differenz 1-3,mm
27,Handlabor,Differenz 5-3,mm
28,Handlabor,Fingerkuppenbreite,mm
29,Handlabor,Spannweite 1-2,mm
30,Handlabor,Spannweite 1-3,mm
31,Handlabor,Spannweite 1-4,mm
32,Handlabor,Spannweite 1-5,mm
33,Handlabor,Spannweite 2-3,mm
34,Handlabor,Spannweite 3-4,mm
35,Handlabor,Spannweite 4-5,mm
36,Handlabor,Spannweite 2-4,mm
37,Handlabor,Spannweite 3-5,mm
38,Handlabor,Spannweite 2-5,mm
39,Handlabor,Daumenbeugewinkel,Grad
40,Handlabor,Abduktion Handgelenk ulnar,Grad
41,Handlabor,Abduktion Handgelenk radial,Grad
42,Handlabor,Summe Abduktion Handgelenk,Grad
43,Handlabor,Supination,Grad
44,Handlabor,Pronation,Grad
45,Handlabor,Summe Rotation,Grad
46,Handlabor,Supination 500 g,Grad
47,Handlabor,Supination 250 g,Grad
48,Handlabor,Supination 500 g,Grad
49,Handlabor,Supination 750 g,Grad
50,Handlabor,Supination 1000 g,Grad
51,Handlabor,Pronation 500 g,Grad
52,Handlabor,Pronation 250 g,Grad
53,Handlabor,Pronation 500 g,Grad
54,Handlabor,Pronation 750 g,Grad
55,Handlabor,Pronation 1000 g,Grad
56,Handlabor,Summe Rotation 500 g,Grad
57,Handlabor,Summe Rotation 250 g,Grad
58,Handlabor,Summe Rotation 500 g,Grad
59,Handlabor,Summe Rotation 750 g,Grad
60,Handlabor,Summe Rotation 1000 g,Grad
61,Handlabor,Überstreckung 2-5 500 g,Grad
63,Handlabor,Überstreckung 2-5 250 g,Grad
64,Handlabor,Überstreckung 2-5 500 g,Grad
81,Handlabor,Daumenabduktion,Grad
82,Handlabor,Spreizung 1-3,Grad
83,Handlabor,Spreizung 1-4,Grad
84,Handlabor,Spreizung 1-5,Grad
85,Handlabor,Spreizung 2-3,Grad
86,Handlabor,Spreizung 3-4,Grad
87,Handlabor,Spreizung 4-5,Grad
88,Handlabor,Spreizung 2-4,Grad
89,Handlabor,Spreizung 3-5,Grad
90,Handlabor,Spreizung 2-5,Grad
91,Handlabor,Abduktion 2. Finger radial,Grad
92,Handlabor,Abduktion 3. Finger radial,Grad
93,Handlabor,Abduktion 4. Finger radial,Grad
94,Handlabor,Abduktion 2. Finger ulnar,Grad
95,Handlabor,Abduktion 3. Finger ulnar,Grad
96,Handlabor,Abduktion 4. Finger ulnar,Grad
201,Handgelenk,Abduktion ulnar 50 Ncm,Grad
202,Handgelenk,Abduktion radial 50 Ncm,Grad
203,Handgelenk,Summe Abduktion 50 Ncm,Grad
204,Handgelenk,Abduktion ulnar 25 Ncm,Grad
205,Handgelenk,Abduktion radial 25 Ncm,Grad
206,Handgelenk,Summe Abduktion 25 Ncm,Grad
207,Handgelenk,Abduktion ulnar 50 Ncm,Grad
208,Handgelenk,Abduktion radial 50 Ncm,Grad
209,Handgelenk,Summe Abduktion 50 Ncm,Grad
210,Handgelenk,"Abduktion ulnar + Extension, 50 Ncm",Grad
211,Handgelenk,"Abduktion radial + Flexion, 50 Ncm",Grad
212,Handgelenk,"Summe Abduktion + Extension / Flexion, 50 Ncm",Grad
213,Handgelenk,"Abduktion ulnar + Extension, 25 Ncm",Grad
214,Handgelenk,"Abduktion radial + Extension, 25 Ncm",Grad
215,Handgelenk,"Summe Abduktion + Extension / Flexion, 25 Ncm",Grad
216,Handgelenk,"Abduktion ulnar + Extension, 50 Ncm",Grad
217,Handgelenk,"Abduktion radial + Flexion, 50 Ncm",Grad
218,Handgelenk,"Summe Abduktion + Extension / Flexion, 50 Ncm",Grad
219,Handgelenk,Extension 50 Ncm,Grad
220,Handgelenk,Flexion 50 Ncm,Grad
221,Handgelenk,"Summe Extension + Flexion, 50 Ncm",Grad
222,Handgelenk,Extension 25 Ncm,Grad
223,Handgelenk,Flexion 25 Ncm,Grad
224,Handgelenk,Summe Extension + Flexion 25 Ncm,Grad
225,Handgelenk,Extension 50 Ncm,Grad
226,Handgelenk,Flexion 50 Ncm,Grad
227,Handgelenk,"Summe Extension + Flexion, 50 Ncm",Grad
228,Handgelenk,"Abduktion ulnar + Flexion, 50 Ncm",Grad
229,Handgelenk,"Abduktion radial + Extension, 50 Ncm",Grad
230,Handgelenk,"Summe Abduktion + Extension / Flexion, 50 Ncm",Grad
231,Handgelenk,"Abduktion ulnar + Flexion, 25 Ncm",Grad
232,Handgelenk,"Abduktion radial + Extension, 25 Ncm",Grad
233,Handgelenk,"Summe Abduktion + Extension / Flexion, 25 Ncm",Grad
234,Handgelenk,"Abduktion ulnar + Flexion, 50 Ncm",Grad
235,Handgelenk,"Abduktion radial + Extension, 50 Ncm",Grad
236,Handgelenk,"Summe Abduktion + Extension / Flexion, 50 Ncm",Grad
237,Handgelenk,Extension aktiv,Grad
238,Handgelenk,Flexion aktiv,Grad